Cement-to-cm,Cement type (MPa),Fly ash-to-cm,Slag-to-cm,Silica fume-to-cm,Metakaolin-to-cm,Nano silica-to-cm,Limestone-to-cm,Quartz powder-to-cm,Sand-to-cm,Maximum aggregate size (mm),Water-to-cm,Superplasticizer-to-cm,Steel fiber volume (%),Aspect ratio of fibers,Length of specimen (mm),28-day flexural strength (MPa)
0.8,42.5,0,0,0.064,0.136,0,0,0.879047619,5,0,0.24,0.018761905,0,0,250,18
0.799814643,42.5,0,0,0.200185357,0,0,0,0.855421687,2.36,0,0.164040778,0.018535681,2,65,160,30.1
0.599629286,42.5,0,0.200185357,0.200185357,0,0,0,0.855421687,2.36,0,0.164040778,0.018535681,2,65,160,36.7
0.599629286,42.5,0.200185357,0,0.200185357,0,0,0,0.855421687,2.36,0,0.164040778,0.018535681,2,65,160,33.9
0.4,42.5,0.2,0.2,0.2,0,0,0,0.85462963,2.36,0,0.163888889,0.018518519,2,65,160,31.7
0.789766407,42.5,0,0,0.200222469,0,0.010011123,0,0.855580274,2.36,0,0.16407119,0.018539118,2,65,160,35.4
0.75,42.5,0,0,0.25,0,0,0,1,2.36,0,0.163825758,0.019981061,2.16,66.66666667,160,27.8
0.599810785,42.5,0,0.150425733,0.249763482,0,0,0,0.999053926,2.36,0,0.163670766,0.019962157,2.16,66.66666667,160,27.6
0.449810606,42.5,0,0.300189394,0.25,0,0,0,1,2.36,0,0.163825758,0.019981061,2.16,66.66666667,160,39.4
0.300189394,42.5,0,0.449810606,0.25,0,0,0,1,2.36,0,0.163825758,0.019981061,2.16,66.66666667,160,25.7
0.599810785,42.5,0.150425733,0,0.249763482,0,0,0,0.999053926,2.36,0,0.163670766,0.019962157,2.16,66.66666667,160,36.9
0.449810606,42.5,0.300189394,0,0.25,0,0,0,1,2.36,0,0.163825758,0.019981061,2.16,66.66666667,160,33.4
0.300189394,42.5,0.449810606,0,0.25,0,0,0,1,2.36,0,0.163825758,0.019981061,2.16,66.66666667,160,31.4
0.8,52.5,0,0,0.2,0,0,0,0.880193237,0.4,0,0.217004831,0.025507246,0,0,160,16
0.800391389,52.5,0,0,0.199608611,0,0,0,0.87964775,0.4,0,0.21702544,0.025440313,2.277777778,81.25,160,30
0.800441014,52.5,0,0,0.199558986,0,0,0,1.189636163,0.4,0,0.217089305,0.025468578,0,0,160,17
0.800695249,52.5,0,0,0.199304751,0,0,0,1.199304751,0.4,0,0.217033604,0.025492468,1.916666667,81.25,160,29
0.8,52.5,0,0,0,0.2,0,0,0.880193237,0.4,0,0.217004831,0.025507246,0,0,160,17
0.8,52.5,0,0,0,0.2,0,0,0.87961165,0.4,0,0.216893204,0.025436893,2.291666667,81.25,160,23
0.800441014,52.5,0,0,0,0.199558986,0,0,1.189636163,0.4,0,0.217089305,0.025468578,0,0,160,16
0.800695249,52.5,0,0,0,0.199304751,0,0,1.199304751,0.4,0,0.217033604,0.025492468,1.916666667,81.25,160,30
0.833333333,52.5,0,0,0.166666667,0,0,0,1,2,0.25,0.191666667,0.029166667,0,0,400,24.54
0.833333333,52.5,0,0,0.166666667,0,0,0,1,2,0.25,0.191666667,0.029166667,1,40,400,39.024
0.833333333,52.5,0,0,0.166666667,0,0,0,1,2,0.25,0.191666667,0.029166667,1,60,400,35.844
0.833333333,52.5,0,0,0.166666667,0,0,0,1,2,0.25,0.191666667,0.029166667,1,80,400,33.564
0.55,52.5,0.35,0,0.1,0,0,0,1,2.36,0,0.17,0.01375,0,0,160,13.02976908
0.55,52.5,0.35,0,0.1,0,0,0,1,2.36,0,0.17,0.01375,2,74.28571429,160,20.65064024
0.49,52.5,0.35,0,0.1,0.06,0,0,1,2.36,0,0.17,0.01225,0,0,160,12.06802487
0.49,52.5,0.35,0,0.1,0.06,0,0,1,2.36,0,0.17,0.01225,2,74.28571429,160,18.31267827
0.45,52.5,0.35,0,0.1,0.1,0,0,1,2.36,0,0.17,0.01125,0,0,160,12.4365589
0.45,52.5,0.35,0,0.1,0.1,0,0,1,2.36,0,0.17,0.01125,2,74.28571429,160,19.32334773
0.41,52.5,0.35,0,0.1,0.14,0,0,1,2.36,0,0.17,0.01025,0,0,160,13.03438339
0.41,52.5,0.35,0,0.1,0.14,0,0,1,2.36,0,0.17,0.01025,2,74.28571429,160,22.12314777
