Cement-to-cm³,Cement type (MPa),Fly ash-to-cm,Slag-to-cm,Silica fume-to-cm,Metakaolin-to-cm ,Nano silica-to-cm,Limestone-to-cm,Quartz powder-to-cm,Sand-to-cm,Maximum aggregate size (mm),Water-to-cm,Superplasticizer-to-cm,Steel fiber volume (%),Aspect ratio of fibers,Size of specimen (mm),28-day compressive strength (MPa)
0.854244527,52.5,0,0,0.145755473,0,0,0,0,0.165509877,5,0.145755473,0.020405766,0,0,40,135
0.854244527,52.5,0,0,0.145755473,0,0,0,0,0.165509877,5,0.145755473,0.020405766,0.006639026,65,40,135.9
0.833333333,52.5,0,0,0.166666667,0,0,0,0,0.161458333,5,0.166666667,0.01990625,0.013283179,65,40,143.2
0.833333333,52.5,0,0,0.166666667,0,0,0,0,0.161458333,5,0.166666667,0.01990625,0.019932462,65,40,145.7
0.833333333,52.5,0,0,0.166666667,0,0,0,0,0.161458333,5,0.166666667,0.04021875,0,0,40,124.1
0.833333333,52.5,0,0,0.166666667,0,0,0,0,0.161458333,5,0.166666667,0.04021875,0.006736462,65,40,128.3
0.833333333,52.5,0,0,0.166666667,0,0,0,0,0.161458333,5,0.166666667,0.04021875,0.013472923,65,40,127.6
0.833333333,52.5,0,0,0.166666667,0,0,0,0,0.161458333,5,0.166666667,0.040739583,0.020209385,65,40,144.1
0.833333333,52.5,0,0,0.166666667,0,0,0,0,0.152083333,5,0.166666667,0.018421875,0,0,40,135.5
0.833333333,52.5,0,0,0.166666667,0,0,0,0,0.152083333,5,0.166666667,0.018942708,0.006583,65,40,146.8
0.833333333,52.5,0,0,0.166666667,0,0,0,0,0.152083333,5,0.166666667,0.019463542,0.013166,65,40,144.7
0.833333333,52.5,0,0,0.166666667,0,0,0,0,0.152083333,5,0.166666667,0.019984375,0.019749,65,40,162.4
0.750228728,52.5,0,0,0.249771272,0,0,0,0,0.642268984,5,0.200365965,0.05946935,0.020128205,65,40,108
0.750228728,52.5,0,0,0.249771272,0,0,0,0,0.570905764,5,0.200365965,0.05946935,0.020128205,65,40,95
0.77037037,52.5,0,0,0.22962963,0,0,0,0,0.592592593,5,0.177777778,0.034773333,0,0,40,140
0.77037037,52.5,0,0,0.22962963,0,0,0,0,0.592592593,5,0.177777778,0.034773333,0,0,40,165
0.77037037,52.5,0,0,0.22962963,0,0,0,0,0.592592593,5,0.177777778,0.034773333,0.006128205,65,40,195
0.77037037,52.5,0,0,0.22962963,0,0,0,0,0.592592593,5,0.177777778,0.034773333,0,0,40,140
0.77037037,52.5,0,0,0.22962963,0,0,0,0,0.592592593,5,0.177777778,0.034773333,0.006128205,65,40,165
0.77037037,52.5,0,0,0.22962963,0,0,0,0,0.592592593,5,0.177777778,0.034773333,0.006128205,65,40,210
